stock_code,con_date,con_eps_roll
600690,2015-05-14,2.0588
600690,2015-05-15,2.0628
600690,2015-05-18,2.0667
600690,2015-05-19,2.0676
600690,2015-05-20,2.0659
600690,2015-05-21,2.0668
600690,2015-05-22,2.063
600690,2015-05-25,2.0663
600690,2015-05-26,2.0978
600690,2015-05-27,2.1063
600690,2015-05-28,2.1104
600690,2015-05-29,2.115
600690,2015-06-01,2.124
600690,2015-06-02,2.125
600690,2015-06-03,2.1265
600690,2015-06-04,2.131
600690,2015-06-05,2.1396
600690,2015-06-08,2.1279
600690,2015-06-09,2.1289
600690,2015-06-10,2.1298
600690,2015-06-11,2.1286
600690,2015-06-12,2.1295
600690,2015-06-15,2.1075
600690,2015-06-16,2.1084
600690,2015-06-17,2.1093
600690,2015-06-18,2.1102
600690,2015-06-19,2.1111
600690,2015-06-23,2.1323
600690,2015-06-24,2.1333
600690,2015-06-25,2.1367
600690,2015-06-26,2.1241
600690,2015-06-29,2.1259
600690,2015-06-30,2.1269
600690,2015-07-01,2.1188
600690,2015-07-02,2.1196
600690,2015-07-03,2.1205
600690,2015-07-06,2.1232
600690,2015-07-07,2.124
600690,2015-07-08,2.1249
600690,2015-07-09,2.1155
600690,2015-07-10,2.1164
600690,2015-07-13,2.1307
600690,2015-07-14,2.1317
600690,2015-07-15,2.1326
600690,2015-07-16,1.0668
600690,2015-07-17,1.0673
600690,2015-07-20,1.0707
600690,2015-07-21,1.065
600690,2015-07-22,1.0655
600690,2015-07-23,1.0659
600690,2015-07-24,1.0664
600690,2015-07-27,1.0668
600690,2015-07-28,1.0673
600690,2015-07-29,1.0677
600690,2015-07-30,1.0682
600690,2015-07-31,1.0728
600690,2015-08-03,1.0738
600690,2015-08-04,1.0743
600690,2015-08-05,1.0678
600690,2015-08-06,1.0683
600690,2015-08-07,1.0687
600690,2015-08-10,1.071
600690,2015-08-11,1.0714
600690,2015-08-12,1.0719
600690,2015-08-13,1.0812
600690,2015-08-14,1.0817
600690,2015-08-17,1.083
